#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-18T16:18:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-18T16:18:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=II/246&-c=&-c.rs=5&limit=5000&-out=2MASS,RAJ2000,DEJ2000,Kmag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#INFO	ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	creator=Cutri R.M.	    First author or institution
#INFO	cites=bibcode:2003yCat.2246....0C	    Bibcode of the dataset
#INFO	journal=yCat	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/246	    Dataset landing page
#INFO	publication_date=2025-03-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
2MASS	RAJ2000	DEJ2000	Kmag
03013329+0158244 	045.388742	+01.973460	15.012
03012975+0159048 	045.373984	+01.984684	13.776
03011917+0157540 	045.329909	+01.965010	13.598
03012459+0159388 	045.352468	+01.994116	15.710
03011968+0159528 	045.332036	+01.998010	15.290
03013243+0159178 	045.385153	+01.988281	15.305
03013592+0200354 	045.399684	+02.009859	15.166
03014396+0200388 	045.433167	+02.010779	16.085
03013824+0201348 	045.409367	+02.026361	14.979
03013330+0200395 	045.388762	+02.010993	15.014
03012834+0200573 	045.368088	+02.015918	14.899
03013313+0201299 	045.388059	+02.024990	14.724
03013325+0201425 	045.388575	+02.028490	14.175
03011277+0159140 	045.303223	+01.987237	14.356
03011218+0159232 	045.300782	+01.989784	15.792
03012309+0200584 	045.346214	+02.016249	15.666
03011047+0201182 	045.293659	+02.021744	13.763
03012482+0201524 	045.353437	+02.031249	15.399
03012201+0201304 	045.341722	+02.025130	13.176
03012993+0202347 	045.374711	+02.042990	15.158
03012752+0203551 	045.364688	+02.065329	15.382
03012413+0204151 	045.350562	+02.070885	15.719
03012005+0204057 	045.333551	+02.068274	11.885
03012689+0204490 	045.362075	+02.080290	11.289
03012377+0204589 	045.349044	+02.083030	15.255
02583820+0130065 	044.659170	+01.501827	14.192
02583609+0130347 	044.650390	+01.509656	11.596
02584709+0132500 	044.696221	+01.547223	13.419
02584436+0132492 	044.684859	+01.547027	12.924
02585390+0134184 	044.724601	+01.571783	10.398
02584968+0133425 	044.707026	+01.561833	15.322
02585217+0134503 	044.717386	+01.580662	14.876
02583710+0133420 	044.654616	+01.561673	13.772
02583977+0133525 	044.665724	+01.564587	15.465
02584840+0135141 	044.701696	+01.587255	13.541
02584816+0135459 	044.700686	+01.596085	13.780
02582280+0134486 	044.595026	+01.580182	15.351
02583508+0134198 	044.646196	+01.572193	15.510
02583283+0135133 	044.636811	+01.587049	14.072
02583384+0135198 	044.641005	+01.588848	15.685
02584305+0136179 	044.679413	+01.604979	15.451
02582777+0136064 	044.615729	+01.601791	12.388
02585728+0136220 	044.738708	+01.606128	14.659
02585162+0135115 	044.715093	+01.586540	13.009
02585090+0136198 	044.712097	+01.605517	11.877
02585302+0136399 	044.720920	+01.611101	14.930
02590797+0137444 	044.783232	+01.629015	13.612
02590757+0137507 	044.781559	+01.630775	14.542
02585815+0138181 	044.742314	+01.638387	15.623
02591204+0139409 	044.800175	+01.661372	14.735
02590797+0140269 	044.783218	+01.674156	12.344
02584900+0137564 	044.704183	+01.632341	15.241
02584417+0138574 	044.684064	+01.649283	12.190
02584757+0140026 	044.698243	+01.667391	13.807
02585691+0138401 	044.737156	+01.644498	15.354
02590329+0141243 	044.763745	+01.690091	16.404
02585377+0140135 	044.724078	+01.670436	13.799
02581619+0136020 	044.567488	+01.600566	15.164
02580593+0136279 	044.524739	+01.607764	12.237
02580987+0136331 	044.541132	+01.609200	15.335
02581041+0137331 	044.543393	+01.625881	12.306
02582639+0137559 	044.609959	+01.632210	15.157
02583118+0138063 	044.629957	+01.635096	14.744
02583460+0138174 	044.644180	+01.638168	15.187
02582866+0138390 	044.619455	+01.644193	14.684
02582661+0138256 	044.610887	+01.640457	15.361
02582335+0138388 	044.597292	+01.644135	15.436
02581929+0138478 	044.580401	+01.646623	15.040
02580276+0137509 	044.511526	+01.630832	15.315
02580626+0138513 	044.526104	+01.647608	14.407
02580474+0139218 	044.519759	+01.656066	14.857
02580713+0139357 	044.529732	+01.659939	13.918
02581255+0140389 	044.552330	+01.677482	14.922
02581566+0141238 	044.565280	+01.689966	15.240
02584332+0140086 	044.680527	+01.669074	15.331
02583831+0140351 	044.659656	+01.676442	15.384
02582901+0139564 	044.620908	+01.665682	13.218
02584790+0141255 	044.699623	+01.690444	11.807
02584150+0141552 	044.672941	+01.698694	14.631
02585588+0142589 	044.732865	+01.716386	13.627
02585366+0143140 	044.723616	+01.720563	13.730
02585389+0143194 	044.724578	+01.722063	14.501
02584919+0143240 	044.704974	+01.723341	14.550
02585103+0143592 	044.712632	+01.733126	14.791
02583991+0142332 	044.666323	+01.709243	11.527
02584545+0143031 	044.689413	+01.717550	14.964
02583823+0142302 	044.659315	+01.708414	12.444
02584715+0143469 	044.696464	+01.729701	14.680
02582563+0141582 	044.606798	+01.699516	14.792
02582493+0142082 	044.603888	+01.702288	14.399
02582811+0142241 	044.617150	+01.706707	15.966
02583487+0142492 	044.645333	+01.713676	14.676
02583287+0143113 	044.636979	+01.719807	13.684
02581917+0143278 	044.579911	+01.724401	15.075
02582499+0143324 	044.604126	+01.725693	13.353
02582649+0144120 	044.610398	+01.736671	15.370
02583565+0143087 	044.648579	+01.719104	15.057
02584287+0144584 	044.678642	+01.749562	13.139
02584336+0145071 	044.680676	+01.751999	15.202
02584098+0145339 	044.670773	+01.759419	15.326
02584035+0146044 	044.668132	+01.767913	11.878
02583084+0144245 	044.628524	+01.740154	15.598
02582909+0145048 	044.621229	+01.751343	14.774
02583647+0147068 	044.651964	+01.785234	15.557
02583461+0147105 	044.644226	+01.786273	15.081
02591509+0139511 	044.812908	+01.664203	13.392
02592320+0140396 	044.846684	+01.677683	11.442
02592280+0141141 	044.845011	+01.687274	12.587
02591652+0141043 	044.818834	+01.684529	15.553
02592126+0141353 	044.838594	+01.693157	15.887
02591634+0141354 	044.818097	+01.693168	15.618
02591547+0141334 	044.814488	+01.692623	13.676
02592747+0140591 	044.864466	+01.683110	14.749
02593608+0143159 	044.900346	+01.721090	16.074
02593081+0143075 	044.878416	+01.718752	10.672
02592897+0143156 	044.870746	+01.721021	15.988
02590866+0141272 	044.786096	+01.690890	15.612
02591238+0142381 	044.801612	+01.710603	15.016
02590214+0141534 	044.758948	+01.698169	14.056
02590325+0143561 	044.763547	+01.732255	 9.244
02591896+0143182 	044.829009	+01.721740	14.504
02592138+0144260 	044.839118	+01.740556	 7.468
02591503+0144250 	044.812638	+01.740290	11.839
02591528+0144351 	044.813671	+01.743084	14.732
02590790+0145204 	044.782944	+01.755684	10.788
02591702+0146060 	044.820948	+01.768354	14.062
02591773+0147129 	044.823910	+01.786918	15.674
02594037+0144225 	044.918241	+01.739599	14.221
02593814+0144456 	044.908925	+01.746022	11.711
02594601+0145077 	044.941743	+01.752153	13.942
02593304+0144511 	044.887689	+01.747534	11.600
02593270+0144554 	044.886252	+01.748732	15.319
02593633+0145409 	044.901382	+01.761376	14.289
02593041+0145071 	044.876745	+01.751985	15.448
02593646+0145557 	044.901920	+01.765490	15.464
02594048+0147048 	044.918668	+01.784688	15.191
02595398+0147476 	044.974944	+01.796577	11.882
02595275+0148145 	044.969829	+01.804031	14.643
02594636+0148111 	044.943175	+01.803093	15.629
02592890+0146078 	044.870456	+01.768854	15.252
02593175+0147012 	044.882294	+01.783690	11.180
02593495+0147294 	044.895656	+01.791514	14.774
02592226+0146546 	044.842758	+01.781846	15.094
02592518+0149004 	044.854951	+01.816802	13.037
02594074+0149127 	044.919780	+01.820216	14.361
02594246+0150012 	044.926934	+01.833681	13.434
02593813+0149470 	044.908890	+01.829733	12.000
02594215+0150468 	044.925633	+01.846347	14.193
02593632+0150584 	044.901343	+01.849559	15.564
02585680+0143241 	044.736702	+01.723367	14.991
02590059+0144354 	044.752463	+01.743174	14.934
02585779+0145095 	044.740796	+01.752643	15.644
02584728+0145181 	044.697003	+01.755049	10.489
02584738+0145249 	044.697458	+01.756921	13.720
02585049+0145302 	044.710381	+01.758406	14.291
02585722+0146178 	044.738420	+01.771631	 9.304
02585590+0146531 	044.732942	+01.781434	15.335
02590724+0146457 	044.780194	+01.779364	12.443
02591136+0147528 	044.797364	+01.798007	15.391
02591051+0147575 	044.793793	+01.799332	14.264
02591008+0148002 	044.792037	+01.800068	10.982
02591172+0148072 	044.798857	+01.802010	15.394
02590140+0147117 	044.755869	+01.786610	12.693
02590321+0147176 	044.763375	+01.788238	15.962
02585904+0147212 	044.746016	+01.789237	13.699
02584078+0147216 	044.669947	+01.789361	14.177
02583967+0147218 	044.665305	+01.789390	13.368
02584038+0147476 	044.668289	+01.796560	15.764
02585363+0148374 	044.723481	+01.810394	14.764
02585400+0149315 	044.725005	+01.825430	15.400
02585026+0150331 	044.709420	+01.842551	13.177
02585768+0150024 	044.740345	+01.834017	13.685
02585538+0150318 	044.730778	+01.842186	15.850
02592281+0152544 	044.845056	+01.881785	14.989
02593079+0153137 	044.878292	+01.887165	11.994
02593116+0153138 	044.879862	+01.887176	 9.532
02591112+0152360 	044.796363	+01.876688	12.371
02590315+0152200 	044.763136	+01.872241	14.544
02590506+0152285 	044.771113	+01.874588	13.613
02592062+0152394 	044.835924	+01.877621	13.195
02591731+0153289 	044.822147	+01.891379	13.163
02592357+0154029 	044.848240	+01.900824	14.915
02591824+0154135 	044.826026	+01.903752	15.754
02591516+0153492 	044.813189	+01.897004	15.461
02590947+0154062 	044.789497	+01.901723	14.858
02591924+0154444 	044.830206	+01.912349	14.141
02591526+0154532 	044.813619	+01.914778	14.984
02591582+0155111 	044.815923	+01.919765	15.676
02591766+0155437 	044.823619	+01.928832	11.526
02575583+0139222 	044.482665	+01.656185	14.656
02574960+0139588 	044.456677	+01.666344	13.438
02575356+0140552 	044.473191	+01.682004	15.333
02575300+0141108 	044.470868	+01.686351	13.386
02575475+0141259 	044.478143	+01.690551	14.955
02575379+0142416 	044.474125	+01.711565	12.505
02580680+0141441 	044.528351	+01.695595	16.903
02580114+0141472 	044.504774	+01.696465	15.331
02581001+0142097 	044.541723	+01.702703	14.428
02580600+0142587 	044.525040	+01.716309	14.172
02575588+0142323 	044.482854	+01.708982	15.075
02574231+0141017 	044.426298	+01.683832	13.966
02574075+0141399 	044.419798	+01.694421	15.717
02574463+0143311 	044.435994	+01.725308	13.460
02574321+0143347 	044.430069	+01.726322	15.437
02574414+0143356 	044.433929	+01.726575	13.543
02575189+0143587 	044.466216	+01.732997	12.672
02575576+0144362 	044.482354	+01.743407	15.132
02575444+0145014 	044.476864	+01.750412	15.304
02575752+0145520 	044.489678	+01.764450	13.320
02574840+0145157 	044.451677	+01.754385	15.601
02575817+0146216 	044.492378	+01.772672	15.478
02575711+0146229 	044.487995	+01.773047	13.445
02581049+0144184 	044.543720	+01.738458	14.277
02582008+0145396 	044.583670	+01.761009	15.269
02581507+0147111 	044.562824	+01.786438	13.709
02582922+0146336 	044.621773	+01.776024	12.435
02582827+0147214 	044.617823	+01.789288	15.337
02582902+0147280 	044.620936	+01.791130	13.768
02582764+0147313 	044.615169	+01.792032	14.967
02582320+0147289 	044.596667	+01.791363	15.663
02581671+0147331 	044.569639	+01.792539	10.296
02582630+0148161 	044.609593	+01.804477	13.645
02580724+0146342 	044.530197	+01.776176	14.846
02580568+0147000 	044.523679	+01.783361	11.887
02580387+0147046 	044.516142	+01.784630	12.877
02580666+0147392 	044.527781	+01.794234	13.791
02580309+0147377 	044.512890	+01.793810	10.982
02580404+0147312 	044.516859	+01.792002	10.019
02581526+0148442 	044.563598	+01.812283	13.990
02581610+0149094 	044.567119	+01.819280	13.511
02581663+0149427 	044.569298	+01.828542	11.337
02580714+0149565 	044.529779	+01.832376	14.940
02581596+0150047 	044.566540	+01.834655	13.664
02581623+0151013 	044.567646	+01.850372	16.153
02581486+0151409 	044.561922	+01.861369	13.472
02572971+0143569 	044.373812	+01.732493	12.841
02573385+0145286 	044.391047	+01.757962	14.429
02572583+0144510 	044.357640	+01.747525	15.739
02572456+0145224 	044.352354	+01.756230	12.683
02574095+0146460 	044.420650	+01.779471	13.755
02574302+0148320 	044.429267	+01.808908	16.456
02572652+0148018 	044.360533	+01.800511	12.632
02572584+0148108 	044.357698	+01.803006	12.944
02571629+0147206 	044.317878	+01.789068	13.998
02571647+0148047 	044.318644	+01.801324	14.684
02572485+0149118 	044.353573	+01.819952	14.670
02573133+0150353 	044.380571	+01.843144	15.192
02575284+0148083 	044.470186	+01.802317	15.899
02575737+0149190 	044.489067	+01.821955	15.567
02575575+0149449 	044.482332	+01.829152	15.150
02575015+0151111 	044.458981	+01.853099	15.435
02580705+0152181 	044.529393	+01.871712	 9.904
02580113+0151367 	044.504725	+01.860215	11.390
02574458+0150382 	044.435789	+01.843967	15.107
02575186+0151434 	044.466090	+01.862081	15.549
02574326+0151569 	044.430269	+01.865819	15.821
02573899+0151084 	044.412467	+01.852339	14.018
02573505+0151524 	044.396042	+01.864568	15.633
02573900+0152357 	044.412529	+01.876592	14.221
02574456+0152364 	044.435693	+01.876781	15.726
02574162+0152389 	044.423425	+01.877493	14.849
02574507+0152552 	044.437824	+01.882003	14.746
02574656+0153119 	044.444005	+01.886662	15.310
02575946+0154314 	044.497750	+01.908734	12.945
02574983+0154120 	044.457647	+01.903338	14.941
02575810+0155226 	044.492085	+01.922947	15.593
02575675+0155303 	044.486476	+01.925091	15.580
02583832+0148193 	044.659698	+01.805367	15.284
02583126+0149015 	044.630291	+01.817104	13.216
02583032+0149531 	044.626358	+01.831441	14.301
02583527+0150034 	044.646967	+01.834292	15.691
02583800+0150177 	044.658347	+01.838261	15.174
02583577+0150520 	044.649059	+01.847790	14.491
02584636+0151049 	044.693200	+01.851379	15.204
02585324+0151238 	044.721858	+01.856619	15.064
02585486+0152112 	044.728624	+01.869778	14.988
02584735+0152566 	044.697292	+01.882401	15.254
02584556+0153064 	044.689843	+01.885122	14.663
02583089+0152414 	044.628742	+01.878182	12.869
02581879+0151174 	044.578318	+01.854834	15.200
02582256+0151316 	044.594002	+01.858779	14.569
02581801+0152391 	044.575068	+01.877551	15.940
02582648+0152196 	044.610350	+01.872113	15.486
02582488+0153129 	044.603696	+01.886930	14.074
02583511+0152450 	044.646327	+01.879184	14.898
02583697+0153205 	044.654045	+01.889036	15.379
02583326+0153396 	044.638617	+01.894337	15.383
02583083+0154474 	044.628477	+01.913191	14.416
02583599+0155105 	044.649996	+01.919587	14.291
02583623+0155443 	044.650963	+01.928981	14.593
02590031+0152456 	044.751307	+01.879343	12.385
02585736+0153537 	044.739018	+01.898276	15.370
02585248+0153210 	044.718667	+01.889185	15.737
02584934+0153495 	044.705589	+01.897108	13.736
02585601+0155360 	044.733393	+01.926667	14.656
02585820+0155534 	044.742508	+01.931526	13.855
02590588+0156275 	044.774500	+01.940991	15.453
02590716+0157459 	044.779846	+01.962772	12.582
02584650+0155594 	044.693764	+01.933182	14.381
02584026+0156524 	044.667781	+01.947908	14.832
02584708+0157182 	044.696196	+01.955082	15.993
02584678+0158410 	044.694950	+01.978077	15.463
02585175+0159185 	044.715647	+01.988493	13.800
02581345+0154188 	044.556072	+01.905235	14.504
02582559+0155530 	044.606638	+01.931407	14.666
02582434+0156101 	044.601449	+01.936143	14.707
02582840+0156119 	044.618345	+01.936646	15.895
02582864+0157094 	044.619348	+01.952627	15.128
02582328+0156276 	044.597012	+01.941027	15.762
02582455+0157203 	044.602293	+01.955649	14.799
02582958+0157400 	044.623281	+01.961121	15.784
02582569+0157409 	044.607052	+01.961385	15.564
02582507+0158330 	044.604463	+01.975849	14.226
02580787+0156130 	044.532816	+01.936956	15.614
02580791+0156313 	044.532980	+01.942034	15.672
02580720+0156589 	044.530008	+01.949701	15.220
02580103+0157417 	044.504297	+01.961593	10.613
02580330+0157558 	044.513758	+01.965502	14.454
02581607+0157291 	044.566987	+01.958097	14.699
02581542+0157312 	044.564255	+01.958669	15.281
02582414+0158275 	044.600586	+01.974332	15.434
02582223+0158379 	044.592661	+01.977212	15.419
02581825+0159055 	044.576081	+01.984867	14.983
02580707+0158296 	044.529481	+01.974912	12.991
02580828+0158337 	044.534512	+01.976032	15.478
02581926+0159478 	044.580283	+01.996617	15.188
02581225+0159183 	044.551053	+01.988434	11.894
02583396+0157077 	044.641526	+01.952148	15.946
02583597+0157087 	044.649879	+01.952423	14.115
02582648+0158479 	044.610353	+01.979991	12.297
02582848+0159034 	044.618672	+01.984302	15.382
02582996+0159311 	044.624854	+01.991985	12.447
02583033+0159379 	044.626388	+01.993888	14.689
02583082+0159463 	044.628448	+01.996221	16.327
02583668+0200183 	044.652873	+02.005103	14.559
02584759+0159127 	044.698315	+01.986871	11.475
02585104+0159501 	044.712667	+01.997262	13.154
02584376+0201076 	044.682343	+02.018805	13.104
02584497+0202182 	044.687416	+02.038414	16.098
02582403+0158575 	044.600152	+01.982654	14.352
02582645+0159033 	044.610247	+01.984263	13.461
02582696+0200429 	044.612348	+02.011943	14.924
02582866+0201072 	044.619447	+02.018688	14.299
02583002+0201009 	044.625123	+02.016921	15.345
02583138+0201364 	044.630783	+02.026790	13.937
02582255+0200464 	044.593989	+02.012893	13.916
02582807+0201524 	044.616987	+02.031244	15.475
02582499+0202206 	044.604150	+02.039063	15.788
02582662+0202226 	044.610955	+02.039632	14.665
